timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691732214837,1929,HTTP Request,200,OK,Thread Group 1-43,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1123,0,552
1691732215007,1926,HTTP Request,200,OK,Thread Group 1-44,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1116,0,552
1691732215909,1082,HTTP Request,200,OK,Thread Group 1-38,text,true,,62938,119,19,19,https://www.dhakasnob.com/,284,0,0
1691732215179,1864,HTTP Request,200,OK,Thread Group 1-45,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1078,0,533
1691732214324,2795,HTTP Request,200,OK,Thread Group 1-40,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1761,0,1163
1691732216101,1092,HTTP Request,200,OK,Thread Group 1-39,text,true,,62938,119,19,19,https://www.dhakasnob.com/,557,0,0
1691732215348,1892,HTTP Request,200,OK,Thread Group 1-46,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1096,0,543
1691732215995,1325,HTTP Request,200,OK,Thread Group 1-37,text,true,,62938,119,19,19,https://www.dhakasnob.com/,539,0,0
1691732215517,1940,HTTP Request,200,OK,Thread Group 1-47,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1130,0,550
1691732216447,1090,HTTP Request,200,OK,Thread Group 1-41,text,true,,62938,119,19,19,https://www.dhakasnob.com/,551,0,0
1691732215689,1873,HTTP Request,200,OK,Thread Group 1-48,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1090,0,539
1691732216556,1075,HTTP Request,200,OK,Thread Group 1-42,text,true,,62938,119,19,19,https://www.dhakasnob.com/,550,0,0
1691732215861,1942,HTTP Request,200,OK,Thread Group 1-49,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1124,0,557
1691732216766,1092,HTTP Request,200,OK,Thread Group 1-43,text,true,,62938,119,19,19,https://www.dhakasnob.com/,553,0,0
1691732216031,1901,HTTP Request,200,OK,Thread Group 1-50,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1103,0,549
1691732216933,1094,HTTP Request,200,OK,Thread Group 1-44,text,true,,62938,119,19,19,https://www.dhakasnob.com/,553,0,0
1691732217044,1064,HTTP Request,200,OK,Thread Group 1-45,text,true,,62938,119,19,19,https://www.dhakasnob.com/,278,0,0
1691732216200,1911,HTTP Request,200,OK,Thread Group 1-51,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1103,0,547
1691732216372,1901,HTTP Request,200,OK,Thread Group 1-52,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1104,0,551
1691732216542,1910,HTTP Request,200,OK,Thread Group 1-53,text,true,,62961,119,20,20,https://www.dhakasnob.com/,1102,0,545
1691732217119,1359,HTTP Request,200,OK,Thread Group 1-40,text,true,,62938,119,20,20,https://www.dhakasnob.com/,551,0,0
1691732217458,1091,HTTP Request,200,OK,Thread Group 1-47,text,true,,62938,119,19,19,https://www.dhakasnob.com/,285,0,0
1691732217241,1361,HTTP Request,200,OK,Thread Group 1-46,text,true,,62938,119,19,19,https://www.dhakasnob.com/,547,0,0
1691732216713,1904,HTTP Request,200,OK,Thread Group 1-54,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1109,0,543
1691732217564,1058,HTTP Request,200,OK,Thread Group 1-48,text,true,,62938,119,18,18,https://www.dhakasnob.com/,535,0,0
1691732216885,1878,HTTP Request,200,OK,Thread Group 1-55,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1093,0,534
1691732217804,1105,HTTP Request,200,OK,Thread Group 1-49,text,true,,62938,119,18,18,https://www.dhakasnob.com/,288,0,0
1691732217055,1912,HTTP Request,200,OK,Thread Group 1-56,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1104,0,547
1691732217932,1079,HTTP Request,200,OK,Thread Group 1-50,text,true,,62938,119,18,18,https://www.dhakasnob.com/,282,0,0
1691732217227,1921,HTTP Request,200,OK,Thread Group 1-57,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1115,0,556
1691732218112,1097,HTTP Request,200,OK,Thread Group 1-51,text,true,,62938,119,18,18,https://www.dhakasnob.com/,291,0,0
1691732217396,1913,HTTP Request,200,OK,Thread Group 1-58,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1105,0,547
1691732218275,1079,HTTP Request,200,OK,Thread Group 1-52,text,true,,62938,119,18,18,https://www.dhakasnob.com/,281,0,0
1691732218453,1098,HTTP Request,200,OK,Thread Group 1-53,text,true,,62938,119,18,18,https://www.dhakasnob.com/,290,0,0
